supplier,createDate,source,milestoneId,milestoneDescription,businessImpact,remediation
Humai  Tech,12/3/2020,Assessment,198604,Absence of latest application penetration testing / Web Application Security Assessment (WASA) results,"The last application external pen test was performed by one of the customers having partium in production in November 2019. Presence of known vulnerabilities and attack vectors that go undetected can lead to likelihood of exploit.
Recommendation: Perform external application penetration testing/ Web Application Security Assessment (WASA) regularly that incorporates external standards such as the OWASP Top Ten and CWE/SANS Top 25 periodically by ethical-hacking personnel through independent third party and provide IBM with executive summary results","The last application external pen test was performed by one of the customers having partium in production in November 2019. Presence of known vulnerabilities and attack vectors that go undetected can lead to likelihood of exploit.
Recommendation: Perform external application penetration testing/ Web Application Security Assessment (WASA) regularly that incorporates external standards such as the OWASP Top Ten and CWE/SANS Top 25 periodically by ethical-hacking personnel through independent third party and provide IBM with executive summary results"
Humai  Tech,12/3/2020,Assessment,198601,End User computing – Antivirus can be disabled by individual users.,"Risk: Malicious activity, virus/ malware infection
Recommendation: Controls should be implemented to prevent employees from disabling the antivirus agent on systems, particularly on systems used by employees to access customer order details with BCI data",
Humai  Tech,12/2/2020,Assessment,198432,Lack of regular vulnerability assessments in action," 
Risk: Although the vulnerability management policy exists, there is no evidence that regular consistent Vulnerability assessments are performed; considering the service is based off the software, these have to be performed regularly to provide reasonable security assurance to customers.  
Recommendation: Implement a regular vulnerability test program of the partium product, include the frequency and procedures in the vulnerability management policy and share the copy with IBM
",
"Lotame Solutions, Inc",12/3/2020,Assessment,198612,ISO 27001 Certificate ,"Third party Security and compliance certifications prove that an entity meets a set of cybersecurity standards. Lotame is in the process of ISO 27001 certification exercise and has no corrective actions as part of Stage 1. The Stage 2 Audit with Schellman & Company LLC is underway, and certificate for ISO 27001 certification is expected on or about January 15.
Recommendation: Provide the ISO 27001 certificate to IBM when its available.",
"Lotame Solutions, Inc",12/3/2020,Assessment,198615,Penetration Testing in the last 12 months,"Absence of Penetration Testing in the last 12 months
Risk: The last pen test was conducted in March 2019. Regular pen test exercises assist in the company’s security posture and helps in implementing pro-active security measures
Recommendation: Conduct Penetration Testing exercise and provide the executive summary to IBM.",
meQuilibrium,9/14/2020,Assessment,182469, Latest penetration test results with remediation to be taken as per the severity to be taken. , Latest penetration test results with remediation to be taken as per the severity to be taken. , All production web based and internet facing devices
meQuilibrium,9/14/2020,Assessment,182448,Data retention & disposal policy to be defined and documented (IBM employee health data). ,Data retention & disposal policy to be defined and documented (IBM employee health data). ," IBM data retention to be documented in SOW / contract document, and to mention secure
data disposal techniques complying to IBM standards."
meQuilibrium,9/14/2020,Assessment,182476,Provide data flow diagram(showing interface and communication between various components ) of product deployed for IBM ,Provide data flow diagram(showing interface and communication between various components ) of product deployed for IBM , Diagram to cover secure end to end data flow showing all the components used.
meQuilibrium,9/14/2020,Assessment,182455,SOW to be defined and agreed between IBM & supplier.,SOW to be defined and agreed between IBM & supplier.," Document the product/service layout details, IT infrastructure details, communication and interfaces with IBM and suppliers sub-processors, and also to agree RACI among all stakeholders of product/service delivery "
meQuilibrium,9/8/2020,Assessment,182440,SSO implementation for IBM users not implemented in meQuilibrium environment.,SSO implementation for IBM users not implemented in meQuilibrium environment.,Requested for extension till 31/Jan/2021 for implementation 
meQuilibrium,9/14/2020,Assessment,182462,Supplier to provide IBM DPA assessment report ,Supplier to provide IBM DPA assessment report ,"requested for extension till 31/jan/2021 for implementation 
 
The report should comprise of assessed / validity dates and certified by IBM with respect to
IBM SPI & PII data.
"
MITA Group,12/8/2020,Assessment,199560,Evidence that IPS/IDS installed in production environment,IPS/IDS not installed in the pre-production environment.  Needs to be installed in the production environment ,"Sent follow-up to Alan on Jan 5, 2021"
MITA Group,12/8/2020,Assessment,199575,GBS to share all final contractual documentation with SSRM Group,GBS to share all final contractual documentation with SSRM Group,"Sent follow-up to Alan on Jan 5, 2021"
MITA Group,12/8/2020,Assessment,199566,Install DPL in the production environment,DLP solution is not installed ,
MITA Group,12/8/2020,Assessment,199569,PCI Compliant,Supplier/Verituity Platform is not PCI Compliant,
MITA Group,12/8/2020,Assessment,199572,Share Risk Assessment and testing results performed by Bank of America on the production environment,Risk Assessment and test results on the production environment performed by Bank of America are shared with SSRM,"Sent follow-up to Alan Jan 5,  2021"
MITA Group,12/8/2020,Assessment,199563,SOC 2 Type 2 Report,IBM to provide SOC 2 Type 2 on the environment and also ISO 2700 Certificate.,
Muck Rack,9/30/2020,Assessment,184087,Deployment of Anti Virus -Anti Malware solution,Deployment of Antivirus solution for the IBM scoped instance and environment hosted.,From the Muck Rack side a/v has been rolled out to all of the servers.
Muck Rack,9/30/2020,Assessment,184080,Penetration Test for MuckRack Application,Supplier to conduct the MuckRack application Pentest report by end of Feb 2021 and share the observations if identified.,
Muck Rack,9/30/2020,Assessment,184072,SoC2 Type-II Certificate Attestation,Supplier to provide SoC2 Type-II attestation report by end of Feb 2021 and requested to share the remediation timelines for any open items in the report.,
Omnio.net ApS,10/29/2020,Assessment,189876,Account lockout after a certain number of failed login attempts,"Enforce the account lockout after a certain number of failed login attempts. Per supplier, this is planned for end of Nov’2020.","11.19.2020: Per discussion with Anand, the contract is being signed and we shall push the remediation date, so changing the due date to 12.21.2020."
Omnio.net ApS,10/29/2020,Assessment,189862,Intrusion Detection / Prevention System (IDPS).,Implement Intrusion Detection / Prevention System (IDPS).,
Omnio.net ApS,10/29/2020,Assessment,189848,ISO27001 Certification,Provide ISO 27001 certification upon completion. ,
Omnio.net ApS,10/29/2020,Assessment,189855,Penetration Testing,"Perform penetration testing to discover vulnerabilities in systems, system components and services resulting from implementation errors, configuration faults, or other operational deficiencies, and share the testing results/executive summary with IBM. ","11.19.2020: Per discussion with Anand, the contract is being signed and we shall push the remediation date, so changing the due date to 12.21.2020."
Omnio.net ApS,10/29/2020,Assessment,189869,Timeout of inactive user sessions.,Enforce the timeout of inactive user sessions. ,"11.19.2020: Per discussion with Anand, the contract is being signed and we shall push the remediation date, so changing the due date to 12.21.2020."
OneSpan,12/17/2020,Assessment,203216,Update and close findings as the remediation for each finding is completed,"It is the opinion of the assessor that OneSpan security controls and risk mitigations provide IBM with reasonable protections, and therefore the CISO Overall Disposition is a: Conditional Go.",
OwnBackup,10/29/2020,Assessment,189714,Single sign-on (SSO) to be implementation for IBM users to access Ownbackup infrastructure.,Single sign-on (SSO) to be implementation for IBM users to access Ownbackup infrastructure.,Deploy & configure SSO service using industrial standards like SAML 2.0 or OpenID 
OwnBackup,10/29/2020,Assessment,189728,SoC2 Type-II Certificate Attestation,SoC2 Type-II Certificate Attestation,"Supplier to provide SoC2 Type-II attestation report post security assessment


"
OwnBackup,10/29/2020,Assessment,189721,SOW & Data retention & disposal policy to be defined and documented (IBM data).,SOW & Data retention & disposal policy to be defined and documented (IBM data).," Document the product/service layout details, IT infrastructure details, communication and interfaces with IBM and suppliers’ sub-processors, and also to agree RACI among all stakeholders of product/service delivery   

IBM data retention to be documented in SOW / contract document, and to mention secure data disposal techniques complying to IBM standards"
Postman,12/9/2020,Assessment,199650,": At the time of supplier security review, supplier is not ready to provide the support for security review of the product because IBM is procuring less than 20 licenses.","At the time of supplier security review, supplier is not ready to provide the support for security review of the product because IBM is procuring less than 20 licenses.","SSRM team insisted IBM buyer to perform security validation checks  on the product provided by supplier before deploying in end-user workstations and remediation plan if any critical, high, medium findings. This process is agreed and, and post completion results will be shared to SSRM as a pre-requisite for this finding closer "
Rocket Software,1/13/2021,Assessment,206609,Evidence of Software release testing completed,Project team to provide evidence that testing was completed for the release per contractual agreement.  ,
Rocket Software,1/13/2021,Assessment,206612,Evidence that static source code scan result was provided by Rocket Software.,"Per IBM Project team, supplier is to provide evidence that static source code scan was performed on the software release that was provided to IBM",
Rogue Wave by Perforce,9/29/2020,Assessment,184034,No documented process for securing the Supplier’s Software Development Lifce Cycle (SDLC),"Finding: No documented process for securing the Supplier’s Software Development Life Cycle (SDLC) was provided.

Risk: Without a defined and document process for securing a SDLC, unknown vulnerabilities my end up in the release of the software product.

Recommendation: Document how Rogue Wave secures its SLDC and provide recent secure code scans that the process is being followed.",
Salesforce,7/17/2020,Assessment,174551,Remediation Plan,Remediation plan for identified vulnerabilities was not provided when requested ,
Signifi Solutions Inc.,9/24/2020,Questionnaire Response,183648,Missing initial baseline configuration compliance report of Kiosk machine,"1.	Description of finding: Missing initial baseline configuration compliance report of Kiosk machine
Recommendation: Signifi to run baseline security checks (compliance) for Kiosk machine and report the findings to IBM. 
Remediation owner: Cheryl Owen (cherylao@us.ibm.com)
Remediation Timeline: 9th October 2020
Update: Extending the due date till 16th Oct 2020 as requested by RBO (Lucas Monti) over email. 
15/Oct: Update: from RBO that supplier is still working on on it. ""We are still working on the baseline documentation. I hope to have it ready by October 23rd"".
23/Oct: Update: Supplier provided the baseline document and requested to extend till 30th Oct 2020 so they can provide the report.
28/Oct: Extending this to 13th Nov 2020 as requested by supplier and RBO
25/Nov: extending this till 4th Jan 2021 as per supplier request.",Based on the document provided by the Signifi it confirms that baseline configuration compliant for Kiosk machine provided to IBM.
Signifi Solutions Inc.,9/24/2020,Questionnaire Response,183657,Missing SOC 2 Type 1 Accreditation,"2.	Description of finding: Missing SOC 2 Type 1 Accreditation 
Recommendation: SOC 2 Type 1 Accreditation to be submitted by Signifi by end of Q3 2020.
Remediation owner: Cheryl Owen (cherylao@us.ibm.com)
Remediation Timeline: End of Oct’2020
23/Oct: As requested by RBO extending this till 4th Jan 2021 as SOC 2 Type 1 Accreditation is getting delayed.
6/Jan 2021 - Michael Harrison <mharrison@signifi.com> requested extension till March 2021.",
"Softlinx, Inc.",8/5/2020,Assessment,178325,2020 Pen Test Report,"Provide a completed 2020 External Pen Test Report for review and verification.  Supplier has confirmed that the 2020 penetration test will be available by the end of Q2 2020 (September 2020). Action: Provide IBM the final report for review and verification by the end of Q3, 2020 (September). Current Status: o	The testing just started and will take another 4-6 weeks to get a full written report. Estimated date to obtain report is 4-6 weeks and if there are any finding, another 2 weeks to remediate. The 2020 penetration test attestation and results will be available by the end of Q3, 2020 (September).",
SoftwareKey.com,11/30/2020,Assessment,197636,Testing of Supplier Code/API/BOT/Software Package,IBM Offering Manager - 1) initial testing of supplier code (package) via secure release process 2) sharing with RBO and SSRM team the testing results and as well 3) on-going testing of any new code releases from the supplier. ,
"Stream.io, Inc.",11/30/2020,Assessment,197319,ISO27001 Certificate Pending,Submit ISO 27001 Certificate when completed,Submit ISO Certificate when completed
"Stream.io, Inc.",11/30/2020,Assessment,197316,SOC 2 Type 2 Report pending,Provide SOC 2 Type 2 Report when completed end of second quarter,
Sysdig,7/10/2020,Assessment,174061,SOC 2 Type 2 Report Completion,"Provide IBM with a SOC 2 Type 2 Report by December 31, 2020","Sent follow-up to Stephanie Ross on Jan 5, 2021"
Tokio Marine Life Insurance (Thailand) PCL,12/17/2020,Assessment,203139,"21 (High) vulnerabilities identified part of November 2020 monthly vulnerability scanning report , finding remediations were in progress.","21 (High) vulnerabilities identified part of November 2020 monthly vulnerability scanning report , finding remediation's were in progress.","Supplier have shared the remediation plan to close all 21 findings before end of December. Post remediation supplier will run vulnerability scanning and provide latest vulnerability report for closer of this finding
Primary Owner – Supplier: Nitikorn Khamrim (nitikorn.kha@tokiomarinelife.co.th)
Completion timelines: 31 / Jan /2021
"
Tokio Marine Life Insurance (Thailand) PCL,12/17/2020,Assessment,203136,"In penetration test results there were 1 (critical) , 2 (High),7 (Medium) vulnerabilities identified , finding remediations were in progress","In penetration test results there were 1 (critical) , 2 (High),7 (Medium) vulnerabilities identified , finding remediation's were in progress",": Supplier have shared the remediation plan to close 10 findings before end of December. Post remediation supplier will run adhoc pen test and provide latest pen test report for closer of this finding
Primary Owner – Supplier: Nitikorn Khamrim (nitikorn.kha@tokiomarinelife.co.th)
Completion timelines: 31 / Jan /2021
"
Tokio Marine Life Insurance (Thailand) PCL,12/17/2020,Questionnaire Response,203133,Supplier conducting user access review for IBM employees on annually basis.,Supplier conducting user access review for IBM employees on annually basis.,"As per IBM security guideline all IBM user access need to be reviewed every 90 days. supplier agreed to perform. Post implementation an evidence should be shared as pre-requisite for this finding closer.
Primary Owner – Supplier: Nitikorn Khamrim (nitikorn.kha@tokiomarinelife.co.th)
Completion timelines: 01 / Apr /2021
"
TRM (Total Resources Management),10/27/2020,Assessment,189070,"At the time of supplier security review, there are no security assessment / check are performed by supplier before sharing the modified source files (Java script codes) to IBM.","At the time of supplier security review, there are no security assessment / check are performed by supplier before sharing the modified source files (Java script codes) to IBM.","Supplier modified source files (java codes) shall be applied in IBM sandbox environment for static code scan followed by vulnerability scanning before deploying into production environment. This process is agreed and documented as part of SOW, and post completion results will be shared to SSRM as a pre-requisite for this finding closer "
TRM (Total Resources Management),10/27/2020,Assessment,189062,Sharing of IBM design document and getting modified source code (Java script) file by supplier is carried out using unsure methods of communication.,Sharing of IBM design document and getting modified source code (Java script) file by supplier is carried out using unsure methods of communication.,"Setup a SFTP (with restricted access) as a secure mode of IBM code exchange between two entities. On configuring SFTP, an evidence should be shared as pre-requisite for this finding closer."
Turbonomic,8/19/2020,Assessment,179761,Certificate of Compliance with ISO 20243,Turbonomic to provide certificate of compliance with ISO 20243,
Turbonomic,7/20/2020,Assessment,174747,General Questions 00.00.01 - SOC 2 Type II,"Finding Statement : Turbonomic doesn’t participate in an evaluation of its continued suitability, adequacy, and effectiveness of information security controls by an independent third-party in SOC 2 Type II review. 

Risk Statement: There is no reasonable assurance that information security controls and practices are implemented and operating effectively to adequately address current/emerging business and security risks, legislative, regulatory and contractual requirements.

Recommendation: Turbonomic shall participate in an evaluation of its continued suitability, adequacy, and effectiveness of information security controls by an independent third-party in SOC 2 Type II review.",Turbonomic is currently undergoing SOC 2 Type II review and it’s due for completion by end of 2020.  
Turbonomic,7/20/2020,Assessment,174763,General Questions 00.00.03 - Risk Assessment Policy and Process,"Finding Statement: Turbonomic doesn’t have a formal, documented, approved, and implemented risk assessment policy and/or process that includes identifying, analyzing, and evaluating risks to information systems, and outlines how risk response decisions will be made in partnership with the Turbonomic’s internal departments

Risk Statement: Adequate risk management decisions may not be made for information systems in partnership with the internal departments.

Recommendation: Turbonomic shall have a formal, documented, approved, and implemented risk assessment policy and/or process that includes identifying, analyzing, and evaluating risks to information systems, and outlines how risk response decisions will be made in partnership with the Turbonomic’s internal departments.",Turbonomic will develop policy and process and will perform risk assessment by end of 2020 along with the SOC 2 Type II review.
Turbonomic,7/20/2020,Assessment,174770,Risk Assessment 01.01.01 - Penetration Testing,"Finding Statement: Turbonomic hasn’t performed penetration test for the external network and web application.

Risk Statement: Known and/or emerging vulnerabilities and attack vectors may go undetected resulting in the potential for breach of data.

Recommendation: Turbonomic shall perform penetration test for the external network and web application.",Turbonomic will engage a third-party to perform penetration testing of the external network and web application by end of 2020 along with the SOC 2 Type II review.
Twilio,11/25/2020,Assessment,197210,Absence of remediation plan and status of the pen test findings,"Risk: Although pentest was conducted, the remediation plan or the status of the remediation of the findings has not been provided


Remediation
Implement a remediation plan with time line and share the copy with IBM

",
Twilio,11/25/2020,Assessment,197216,SOC 2 type 2 reports for Authy and Sendgrid ,"Finding #2: 
Risk: Although the SOC 2 Type 2 reports were signed and dated in the last 6 months, the period that the tests were conducted is not in the last 12 months. 
Recommendation: Provide the latest SOC 2 Type 2 reports for Authy and Sendgrid covering the last 12 months to IBM
",
Visma Enterprise Denmark A/S,12/3/2020,Assessment,198622,Missing vulnerability assessment for the service provided to IBM,"Description of finding: Missing vulnerability assessment for the service provided to IBM
Recommendation: Visma to provide the vulnerability scan report for the services provided to IBM and hosting systems/servers with no Critical findings.
Remediation owner IBM: Michael Reich (Reich@dk.ibm.com)
Remediation owner VISMA: Erik Kalledsøe (erik.kalledsoe@visma.com)
Remediation Timeline: 26th December 2020 
","Email confirmation has been set by supplier confirming below: See attachment ""Email Artefact for Visma Enterprise Issue - 198622""
I hereby confirm on behalf of Visma Enterprise A/S that we as written in the contract agreement (ITCS329) review that vulnerability scans are performed and processes for remediation are implemented by our sub suppliers and that we follow up on controls and findings through independent revision statements from an external revision company.  
   "
Webhose Ltd,9/2/2020,Assessment,182026,Webhose - Penetration Testing Results,Webhose to provide Penetration Testing results upon completion.,"Clear Gate performed penetration testing for the webhose portal. All identified critical, high, and medium  vulnerabilities have been remediated. Clear Gate re-performed penetration testing and no further critical, high, and medium vulnerabilities were identified. Please attached please see attached executive summary for additional details."
WooCommerce,10/6/2020,Assessment,185356,Remediation of Digital Twin exchange vulnerabilities,Application vulnerability scan report conducted by HCL Appscan on cloud for Digital Twin exchange application and APIs for the period 13th Aug to 14th Aug 2020. Its noted that 70 High Risk Vulnerabilities are identified in the report.,
Wrapmarket LLC,11/18/2020,Assessment,195048,Summary Action: Security testing of supplier’s components in accordance with IBM’s Secure Release Criteria (SRC) Process,"Finding #: 1
Summary Action: Security testing of supplier’s components in accordance with IBM’s Secure Release Criteria (SRC) Process
Risk Ranking: CAT1 (High)
Recommendation: Offering Manager along with business unit BISO support complete compliance and adherence of IBM’s Secure Release Criteria (SRC) Process for security testing. Provide RBO and CISO SSRM team acknowledgement of compliance to SRC and final security testing results. Suggested to be completed within a reasonable timeframe (not to exceed 90 days after GA date). It is also understood that many of these suppliers will be replaced within a year or shortly after with IBM directly selected suppliers for similar functions/capabilities. Note: IBM Team (RBO and Offering Manager) to provide actual date of remediation action and any other specifics associated with the remediation action.",
Wrapmarket LLC,,Assessment,195073,Summary Action: Security testing of supplier’s components in accordance with IBM’s Secure Release Criteria (SRC) Process,"Finding #: 1
Summary Action: Security testing of supplier’s components in accordance with IBM’s Secure Release Criteria (SRC) Process
Risk Ranking: CAT1 (High)
Recommendation: Offering Manager along with business unit BISO support complete compliance and adherence of IBM’s Secure Release Criteria (SRC) Process for security testing. Provide RBO and CISO SSRM team acknowledgement of compliance to SRC and final security testing results. Suggested to be completed within a reasonable timeframe (not to exceed 90 days after GA date). It is also understood that many of these suppliers will be replaced within a year or shortly after with IBM directly selected suppliers for similar functions/capabilities. Note: IBM Team (RBO and Offering Manager) to provide actual date of remediation action and any other specifics associated with the remediation action.",
XPS,9/23/2020,Assessment,183583,Data retention & disposal policy to be defined and documented (IBM employee health data).,Data retention & disposal policy to be defined and documented (IBM employee health data).,"IBM data retention to be documented in SOW / contract document, and to mention secure data disposal techniques complying to IBM standards."
XPS,9/23/2020,Assessment,183576,SOW to be defined and agreed between IBM & supplier.,SOW to be defined and agreed between IBM & supplier.,"Document the product/service layout details, IT infrastructure details, communication and interfaces with IBM and suppliers sub-processors, and also to agree RACI among all stakeholders of product/service delivery"
XPS,9/23/2020,Assessment,183590,Supplier to provide IBM DPA assessment report,Supplier to provide IBM DPA assessment report,
Zoom Video Communications ,9/17/2020,Questionnaire Response,183364,Pen Test Report,"Hello Conor, Thank you for completing all the assessment request. I will start to review everything shortly. For the Pen Test Report, You attach a Vulnerability Scan Report, can you check with your team for a recent external Pen test report. I will also follow-up with some additional questions after I review everything.  Maybe we can also do a quick 30 min. call mid-late next week as well. Thanks Paresh","o	Zoom External Penetration Test(s): 
?	Network Pen Test: Conducted by NCCGroup on 08/24/20. - No Issues.
•	Scope: Between the days of May 11th and June 2nd, 2020, two (2) consultants from NCC Group engaged in an internal network penetration test for a total of thirty (30) person-days of effort against Zoom’s infrastructure. 
•	No Major findings. Upon completion of the assessment, all other minor findings were reported to Zoom. All findings, recommendations and remediations have been addressed and completed.  
?	Application Pen Test: Conducted by NCCGroup on 08/19/20. - No Issues.
•	Scope: Between April 2020 and July 2020, consultants from NCC Group expended 10 person-weeks of effort on a web application architecture review and penetration test of the Zoom web application. 
•	No Major findings. Upon completion of the assessment, all other minor findings were reported to Zoom. All findings, recommendations and remediations have been addressed and completed.  
"
Zscaler,1/6/2021,Assessment,192690,Provide current penetration test,"Conduct a new annual penetration test for 2020 and provide the penetration test report to RBO.
12/08 - Supplier provided an update that, ""there is some delay on the Zscaler pen test reports for 2020 and they'll only be available in January. Rest assured that as soon as they will be ready, I'll send you a copy.""","01/06 - Check on Supplier if they are still on track to have the Pen Test report by January 31.
12/08 - Supplier provided an update that they anticipate the Pen Test report in January 2021"
ZZZ Projects,11/16/2020,Assessment,194139,Summary Action: Security testing of supplier’s components in accordance with IBM’s Secure Release Criteria (SRC) Process,"Finding #: 1
Summary Action: Security testing of supplier’s components in accordance with IBM’s Secure Release Criteria (SRC) Process
Risk Ranking: CAT1 (High)
Recommendation: Offering Manager along with business unit BISO support complete compliance and adherence of IBM’s Secure Release Criteria (SRC) Process for security testing. Provide RBO and CISO SSRM team acknowledgement of compliance to SRC and final security testing results. Suggested to be completed within a reasonable timeframe (not to exceed 90 days after GA date). It is also understood that many of these suppliers will be replaced within a year or shortly after with IBM directly selected suppliers for similar functions/capabilities. Note: IBM Team (RBO and Offering Manager) to provide actual date of remediation action and any other specifics associated with the remediation action.
",
